Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
10;1057790;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;женский;0;0;среднее-специальное;специалист;>250;0;9;45;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057810;Форма банка (без печати работодателя);Ремонт;1;0.23;мужской;1;0;высшее;менеджер среднего звена;< 50;0;26;37;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057830;Поступление зарплаты на счет;Покупка автомобиля;1;0.5;женский;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057850;2НДФЛ;Покупка мебели;1;0.37;мужской;2;0;высшее;менеджер высшего звена;< 50;0;89;37;Другое;ООО;женат / замужем;4;4;4;4;3;0;1;0;0;0;0;0;1;46;1;0;0;49;49;0;0;0;0;0;0;0
10;1057870;2НДФЛ;Ремонт;0;0.3;женский;1;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057890;Поступление зарплаты на счет;Ремонт;1;0.23;мужской;0;0;высшее;специалист;>250;0;27;23;Информационные технологии;ООО;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057910;2НДФЛ;Ремонт;0;0.2;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;82;28;Другое;ОАО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;17;3;0;0;29;60;0;0;0;0;0;0;0
10;1057930;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.58;мужской;0;0;второе высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057950;Форма банка (без печати работодателя);Ремонт;0;0.21;мужской;0;0;высшее;менеджер по продажам;>250;0;54;30;Торговля;ЗАО;разведен / разведена;0;0;0;0;0;0;1;1;0;0;0.2;1;4;41;5;0;2;4;38;0;0;0;0;0;0;0
10;1057970;2НДФЛ;Ремонт;0;0.32;женский;0;0;высшее;специалист;>250;1;72;50;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1057990;Форма банка (без печати работодателя);Ремонт;1;0.1;мужской;0;0;высшее;рабочий;>250;0;273;53;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058010;Поступление зарплаты на счет;Ремонт;1;0.49;женский;0;0;высшее;специалист;< 50;1;52;41;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0188679245;0;1;0;0;0.7142857143;5;2;104;7;3;1;4;35;1;0;0;0;0;0;0
10;1058030;Форма банка (без печати работодателя);Другое;1;0.45;женский;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058050;Свободная форма с печатью работодателя;Другое;0;0.33;женский;2;0;высшее;специалист;< 50;0;15;39;Торговля;ООО;холост / не замужем;1;0;0;0;0;0;1;0;0;0;0.3333333333;1;2;25;3;0;0;21;103;0;0;0;0;0;0;0
10;1058070;Поступление зарплаты на счет;Покупка мебели;1;0.5;женский;0;0;высшее;специалист;>250;1;85;25;Торговля;ЗАО;холост / не замужем;1;1;0;0;0;0;0;0;0;0;0.5;1;1;36;2;1;0;28;33;0;0;0;0;0;0;0
10;1058090;2НДФЛ;Ремонт;1;0.3;мужской;0;0;высшее;специалист;>250;1;52;33;Торговля;ЗАО;холост / не замужем;2;2;2;2;2;0.037037037;1;0;0;0;0.4;2;3;52;5;1;1;20;88;1;0;0;0;0;0;0
10;1058110;Форма банка (без печати работодателя);Ремонт;1;0.19;мужской;0;0;высшее;рабочий;>250;0;74;42;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058130;Поступление зарплаты на счет;Ремонт;0;0.53;женский;1;0;высшее;менеджер среднего звена;>250;1;19;28;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
10;1058150;2НДФЛ;Отпуск;0;;мужской;0;0;второе высшее;другое;;1;60;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058170;2НДФЛ;Покупка мебели;1;0.16;женский;2;0;высшее;специалист;>250;1;99;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058190;2НДФЛ;Ремонт;0;0.29;мужской;0;0;высшее;специалист;>250;3;80;27;Другое;ОАО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0.375;3;5;80;8;2;0;6;83;0;0;0;0;0;0;0
10;1058210;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;54;28;Информационные технологии;ООО;женат / замужем;2;2;1;0;0;0.0357142857;0;1;1;1;0.6;3;2;81;5;1;2;0;43;1;0;0;0;0;0;0
10;1058230;Поступление зарплаты на счет;Отпуск;0;0.31;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058250;2НДФЛ;Ремонт;0;0.34;мужской;2;0;ученая степень;специалист;>250;1;14;37;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058270;2НДФЛ;Покупка бытовой техники;1;0.47;женский;2;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058290;Форма банка (без печати работодателя);Ремонт;1;0.43;мужской;0;0;высшее;специалист;>250;0;29;34;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1058310;2НДФЛ;Ремонт;0;0.53;женский;0;0;высшее;специалист;< 50;0;15;47;Другое;Государственное предприятие;женат / замужем;1;1;0;0;0;0.0471204188;0;0;0;0;0.375;3;5;182;8;2;1;32;97;1;0;0;0;0;0;0
10;1058330;Поступление зарплаты на счет;Ремонт;0;0.31;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;81;51;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;7;1;0;0;7;7;0;0;0;0;0;0;0
10;1058350;Форма банка (без печати работодателя);Покупка автомобиля;1;0.59;мужской;0;0;высшее;менеджер среднего звена;>250;0;464;57;Другое;ОАО;женат / замужем;1;1;1;0;0;0.0505050505;0;0;0;0;0.6;6;4;282;10;2;0;9;104;1;0;0;0;0;0;0
10;1058370;Форма банка (без печати работодателя);Ремонт;1;0.54;мужской;1;0;высшее;менеджер по продажам;< 50;0;28;30;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0070921986;0;0;0;0;0.4;2;3;140;5;0;0;16;101;1;0;0;0;0;0;0
