price,used,milage,transmission,colour,engine_capacity,horsepower,fuel_type,tax,state,year
7795000,1,120000,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7650000,1,44038,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
6800000,1,94500,автоматическая,серый,3.0,400,Дизель,60000,Не требует ремонта,2018
6415000,1,58008,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
5935000,1,146694,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
8445000,1,43710,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2020
1800000,1,280000,автоматическая,золотистый,3.0,306,Бензин,45900,Не требует ремонта,2011
1450000,1,280000,автоматическая,чёрный,3.0,272,Бензин,40800,Не требует ремонта,2009
6450000,1,63000,автоматическая,белый,3.0,265,Дизель,39750,Не требует ремонта,2019
8190000,1,40838,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2020
8850000,1,24816,автоматическая,зелёный,3.0,249,Дизель,18675,Не требует ремонта,2021
7795000,1,120000,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2019
7650000,1,44038,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
9150000,1,39843,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2021
2105000,1,282000,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2011
2999000,1,151400,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2012
9349000,1,30000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2021
1350000,1,234497,автоматическая,чёрный,4.8,355,Бензин,53250,Не требует ремонта,2007
2250000,1,147747,автоматическая,синий,3.0,306,Бензин,45900,Не требует ремонта,2013
1230000,1,271327,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2004
6775000,1,103180,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2020
7195000,1,53792,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
7750000,1,45111,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
8990000,1,44252,автоматическая,серый,3.0,340,Бензин,51000,Не требует ремонта,2021
6335000,1,98000,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2021
7365000,1,81071,автоматическая,синий,2.0,231,Дизель,17325,Не требует ремонта,2021
